REVIEW_ID,RESTAURANT_ID,CUSTOMER_ID,RATING,REVIEW_DATE,ORDER_TYPE,REVIEW_TEXT,RESTAURANT_NAME,RESTAURANT_CUISINE_TYPE,PRICE_RANGE,RESTAURANT_LOCATION_AREA,RESTAURANT_LOCATION_NEIGHBORHOOD,RESTAURANT_LOCATION_REGION,RESTAURANT_OPENING_HOURS,RESTAURANT_HAS_DELIVERY,RESTAURANT_HAS_TAKEOUT,RESTAURANT_DATE_ADDED,CUSTOMER_NAME,CUSTOMER_EMAIL,CUSTOMER_JOIN_DATE,CUSTOMER_PREFERRED_CUISINE,CUSTOMER_CITY,CUSTOMER_STATE,IS_CUSTOMER_FREQUENT
1,437,2276,4.5,2024-08-26 00:10:51.000,delivery,"""I'm so glad I discovered Larson and Sons Aegean, a hidden gem that delivers (literally!) on its promise of authentic Mediterranean cuisine. As a vegetarian, I was thrilled to see a variety of options on the menu, and the Grilled Portobello Mushroom Shawarma Wrap I ordered did not disappoint - the flavors were rich and well-balanced, and the pita was soft and fresh. The accompanying side of roasted vegetables was also a highlight, with a delightful drizzle of lemon-tahini sauce. My only quibble is that the falafel, while crispy on the outside, was slightly overcooked on the inside - but overall, I'm excited to order from Larson and Sons again and explore more of their menu. 4.5/5 stars!""",Larson and Sons Aegean,Mediterranean,$$$,Midtown,Garment District,Central,8AM - 11PM,true,true,2024-07-19,Laura Williams,weaverdonald@example.org,2023-12-30,Italian,Port Patriciahaven,MO,true
2,464,3684,4.0,2025-01-13 00:10:51.000,delivery,"""I was thoroughly impressed with my delivery order from Wagner-Howard Curry - the flavors were rich and bold, and the portion sizes were generous to say the least. The Chicken Tikka Masala was a standout, with tender, juicy chicken in a creamy, slightly smoky sauce that I couldn't get enough of. The basmati rice and naan bread were also cooked to perfection. My only quibble was that the delivery took a bit longer than expected, but the food was well worth the wait - I'd definitely order from Wagner-Howard Curry again. 4/5 stars!""",Wagner-Howard Curry,Indian,$$$,University Area,College Town,North,11AM - 10PM,true,true,2023-08-21,Harold Howard,jameswillis@example.net,2023-01-14,Japanese,Ruizhaven,CO,true
3,749,735,4.0,2025-01-07 00:10:51.000,dine-in,"**4.0/5 stars**

I stopped by Moreno-Phillips Italiano to celebrate my sister's birthday with a family dinner, and while it was a solid choice, it didn't entirely blow us away. The atmosphere was cozy and intimate, with dim lighting and traditional Italian decor, which set the tone for a nice evening out. The pasta dishes we ordered, including the spaghetti Bolognese and fettuccine Alfredo, were cooked al dente and flavorful, but the portions were a tad small for the price point. Overall, it was a pleasant dining experience, but not particularly memorable or outstanding in any way.",Moreno-Phillips Italiano,Italian,$,Uptown,Upper East Side,North,8AM - 8PM,true,true,2023-10-13,Katherine James,williamskerry@example.com,2025-01-24,Various,Oconnorborough,RI,false
4,42,4777,4.0,2025-01-19 00:10:51.000,dine-in,"""I recently had the pleasure of dining at Dominguez-Lee Trattoria, and I must say, it's a hidden gem in the neighborhood. The pasta dishes are clearly made with love and care, as evidenced by the perfectly cooked spaghetti carbonara I devoured. The service was attentive and knowledgeable, with our server happily guiding us through the menu and making excellent wine pairing recommendations. While the atmosphere could benefit from a bit more ambiance, the food and service more than made up for it - I'd highly recommend a visit to this charming trattoria. Overall, a solid 4-star experience that I'd be happy to repeat.""",Dominguez-Lee Trattoria,Italian,$$$,Downtown,Financial District,Central,10AM - 12PM,true,true,2023-04-01,Lauren Williams,edwardhodge@example.org,2023-08-11,Mexican,Gilesshire,MO,false
5,256,9179,4.5,2024-10-25 00:10:51.000,takeout,"""I'm so glad I stumbled upon Landry, Joseph and Jones - their takeout game is on point! I ordered the grilled chicken sandwich and sweet potato fries, and both were expertly prepared and packed with care. The chicken was juicy and flavorful, with a nice char on the outside, and the fries were crispy and addictive. My only minor quibble was that the sandwich could have used a bit more sauce, but overall, I was thoroughly impressed with the quality and value of my meal. Definitely recommend for a satisfying and convenient dinner on-the-go!"" 4.5/5 stars","Landry, Joseph and Jones",American,$,Suburb,Oakwood,Outer,8AM - 8PM,true,true,2024-04-07,Jessica Wagner,clarkebrian@example.com,2022-05-02,French,Lake Lisa,AL,false
6,922,3976,2.0,2024-04-23 00:10:51.000,dine-in,"**2/5 stars**

I'm usually not one to write scathing reviews, but my recent dinner experience at Macdonald, Ashley and Murphy Italiano was a letdown. The pasta dishes, which I was looking forward to, were overcooked and lacked any real depth of flavor - my spaghetti Bolognese was particularly disappointing, with a sauce that tasted more like ketchup than rich, slow-cooked ragù. The service was friendly, but our server seemed overwhelmed, taking ages to refill drinks and forgetting one of our appetizers altogether. For the prices they're charging, I expect a lot more from an Italian restaurant.","Macdonald, Ashley and Murphy Italiano",Italian,$$,Suburb,Oakwood,Outer,8AM - 11PM,true,true,2024-03-16,Lauren King,michaeljennings@example.org,2022-07-29,Various,Martinezton,OH,true
7,305,2988,1.5,2024-06-10 00:10:51.000,takeout,"**Disappointing Takeout Experience at Howard-Martin Diner**

I'm still trying to process the subpar takeout experience I had from Howard-Martin Diner, especially since it was my wife's birthday and I was hoping to make it a special night. Unfortunately, the food fell flat - the "" signature"" burger was overcooked and dry, and the fries were lukewarm and soggy. The ""birthday special"" dessert we ordered, a supposedly decadent chocolate cake, was a bland, store-bought affair that lacked any real flavor or presentation. For a diner that's been around for years, I expected a lot more attention to detail and care in their takeout orders. Needless to say, we won't be back.",Howard-Martin Diner,American,$$$$,Midtown,Garment District,Central,11AM - 9PM,true,true,2024-02-08,Krystal Joyce,acasey@example.org,2024-04-14,Italian,Lake Jenniferside,NJ,true
8,624,2752,3.0,2024-02-18 00:10:51.000,takeout,"**3.0/5 stars**

I ordered takeout from Ward Inc to celebrate my friend's birthday, and while it was a decent choice, it didn't particularly wow us. As a vegetarian, I was excited to try their vegan ""chick'n"" satay, which was flavorful but a bit overcooked. The pad thai was a highlight, with a good balance of sweet and sour flavors, but the portion size was smaller than expected. Overall, Ward Inc is a solid option for a quick and easy Thai fix, but it's not a standout in the city's culinary scene.",Ward Inc,Thai,$$$,Uptown,Upper East Side,North,7AM - 10PM,true,false,2024-12-24,Barbara Holloway,castillomichael@example.net,2022-08-22,Thai,Belindafurt,MA,true
9,36,8549,4.0,2025-01-11 00:10:51.000,delivery,"**4.0/5 stars**

I ordered from Noble PLC for my wife's birthday dinner, opting for their delivery service to make the evening a bit more special. While the food was certainly delicious, I couldn't help but feel that it didn't quite live up to the high expectations I had for a French restaurant of this caliber. The duck confit was tender and flavorful, but the accompanying vegetables were slightly overcooked, and the bouillabaisse, while rich and satisfying, lacked a bit of depth. Overall, it was a solid, if not spectacular, dining experience, and I would consider ordering from Noble PLC again, but perhaps with slightly tempered expectations.",Noble PLC,French,$$$$,Midtown,Chelsea,Central,11AM - 8PM,false,true,2024-12-03,Michael Frank,emilyfields@example.org,2024-07-16,Indian,Lake Pamelaburgh,WA,false
10,265,8592,4.0,2024-11-12 00:10:51.000,delivery,"**4.0/5 stars**

I recently tried Camacho-Hill's delivery service, and while it was a solid experience, it didn't quite blow me away. The French onion soup was rich and flavorful, and the duck confit was cooked to perfection, but the accompanying roasted vegetables were slightly overcooked. The service was prompt and friendly, with a courteous delivery person who called to confirm the order and estimated arrival time. Overall, Camacho-Hill's food is well-executed, but it didn't particularly stand out from other French restaurants I've tried in the area.",Camacho-Hill,French,$$,Business District,Tech Corridor,Central,11AM - 8PM,true,true,2024-06-26,David Allen,lorimorris@example.net,2022-05-21,Various,Lake Robertbury,AL,false
